time,user_name,user_color,message
13,ujuzicc,#00F7FF,"snow way"
22,fivootm,#00973E,"THE TITLE"
24,fivootm,#00973E,"I SWEAR TO GOD"
26,georgelovesnevo,#FF0000,"oiiii"
29,nevo1st,#1E90FF,"theres actually Snow Way"
32,hulkshart,#FF0000,"theres snow way"
33,rizzo04,#FF00F3,"HI NEVO HI CHAT"
44,hulkshart,#FF0000,"HulkShart subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! "
65,smellysoggysock,#1E90FF,"hey"
69,hulkshart,#FF0000,"snow way you drink water??"
73,bill_schitt,#008000,"first"
73,smellysoggysock,#1E90FF,"meow meow meow"
87,nevo1st,#1E90FF,"can we get some woofs and meows in time with the music"
90,nevo1st,#1E90FF,"woof woof"
96,smellysoggysock,#1E90FF,"meow meow"
100,bill_schitt,#008000,"mrooooow~~"
112,sofiyeg,#8A2BE2,"hi neevo and chat :3"
117,smellysoggysock,#1E90FF,"hi"
141,rizzo04,#FF00F3,"MUTD"
141,iu_cyy,#DAA520,"hello smellvo"
142,sofiyeg,#8A2BE2,"can't believe you interrupted us playing minecraft for one of your streams"
142,smellysoggysock,#1E90FF,"muted"
147,rizzo04,#FF00F3,"hiya matey x"
152,iu_cyy,#DAA520,"trying to play minecraft you gimpy gimp"
170,hulkshart,#FF0000,"NO WORRIES GOAT1ST"
176,kerloud,#DADADA,"Hello nev"
179,georgelovesnevo,#FF0000,"oi ive got  that nug"
181,rizzo04,#FF00F3,"OMG REAL SANTA?"
182,georgelovesnevo,#FF0000,"mug"
201,smellysoggysock,#1E90FF,"merry"
211,rizzo04,#FF00F3,"LOL"
215,kerloud,#DADADA,"SANTA!!!"
216,bill_schitt,#008000,"mugged"
220,sofiyeg,#8A2BE2,"bro does not care about you"
223,bill_schitt,#008000,"NEVILLE"
228,lyraawr,#FF69B4,"this is my first video on instagram"
230,smellysoggysock,#1E90FF,"gary nevile"
232,natehassoretummy,,"my sister is asking what u got in ur advent today"
235,iu_cyy,#DAA520,"hes gonna put you on the naughty list gimp"
236,hulkshart,#FF0000,"a gimpy perm!"
239,ujuzicc,#00F7FF,"nevo supports ai confirmed"
253,smellysoggysock,#1E90FF,"@natehassoretummy hello nate"
261,hulkshart,#FF0000,"AM I ON THE NICE LIST"
266,iu_cyy,#DAA520,"nice my arse"
270,lyraawr,#FF69B4,"holy shit holy shit"
274,folklohre,#FF69B4,"omg is this real?"
293,smellysoggysock,#1E90FF,"oh my"
295,lyraawr,#FF69B4,"LOL"
